hhid,land_total_acres,land_cultivated_acres,maize_harvest_qty,maize_unit,livestock_owned,livestock_types,usedom,climate_info_received,hh_head_gender,hh_size_total,hh_head_education,latitude,longitude,orgfert_quantity_2024,maize_harvest_qty_kg,climate_info_received_std,maize_yield_ton_acre
44,1.0,1.0,3.0,90 Kg bag,Yes,Beef cattle Sheep,Yes,Yes,Female,7,Certificate,0.093142635,34.58565796,90 kg bag,270.0,Yes,0.27
38,1.25,1.0,1.0,90 Kg bag,Yes,Sheep,Yes,MO,Male,12,Diploma,0.013987011,34.98225066,90 kg bag,90.0,No,0.09
36,3.0,1.0,6.0,90 Kg bag,No,Not_Applicable,No,Yes,Male,10,Certificate,-0.00611703,34.85746196,90 kg bag,540.0,Yes,0.54
30,1.5,1.0,3.0,90 Kg bag,No,Not_Applicable,Yes,Yes,Male,4,Secondary,-0.190888017,34.62882919,90 kg bag,270.0,Yes,0.27
29,1.25,0.75,5.0,90 Kg bag,No,Not_Applicable,No,Yes,Male,6,Secondary,-0.25222707,34.97685783,90 kg bag,450.0,Yes,0.6
27,1.0,0.75,15.0,50Kg bag,Yes,Sheep,No,no,Female,4,Secondary,-0.221028539,34.57736232,50 kg bag,750.0,No,1.0
18,0.75,0.75,2.0,90 Kg bag,Yes,Poultry,Yes,Yes,Female,6,Secondary,-0.215306013,34.98999588,90 kg bag,180.0,Yes,0.24
15,1.5,1.0,1.0,90 Kg bag,Yes,Goats Poultry,No,not,Female,4,Secondary,-0.032199601,34.92432222,90 kg bag,90.0,No,0.09
14,1.0,1.0,2.0,10Kg bag,Yes,Goats,No,n,Male,10,Diploma,-0.068036928,34.58580964,10 kg bag,20.0,No,0.02
8,0.75,0.25,2.0,90 Kg bag,Yes,Poultry,Yes,Yes,Male,8,Secondary,0.080368932,34.87556349,90 kg bag,180.0,Yes,0.72
6,0.25,0.25,2.0,90 Kg bag,Yes,Poultry,Yes,Yes,Male,6,Primary,-0.206509275,34.7759734,90 kg bag,180.0,Yes,0.72
5,2.0,2.0,11.0,90 Kg bag,Yes,Dairy cows Sheep,Yes,Yes,Male,5,Secondary,-0.307724224,34.73944322,90 kg bag,990.0,Yes,0.5
